time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-12 00:00:00+00:00,246,206,97,85
2026-07-13 00:00:00+00:00,1859,139,102,41
2026-07-14 00:00:00+00:00,1569,134,145,78
2026-07-15 00:00:00+00:00,453,108,163,104
2026-07-16 00:00:00+00:00,1322,149,103,44
2026-07-17 00:00:00+00:00,561,119,97,52
2026-07-18 00:00:00+00:00,200,65,63,47
2026-07-19 00:00:00+00:00,153,46,49,41
2026-07-20 00:00:00+00:00,906,110,99,47
2026-07-21 00:00:00+00:00,629,111,117,44
2026-07-22 00:00:00+00:00,886,119,129,56
2026-07-23 00:00:00+00:00,993,150,140,68
2026-07-24 00:00:00+00:00,424,80,140,57
2026-07-25 00:00:00+00:00,309,73,46,41
